time;response;expected;result
2024-03-08 03:12:01.698158;200;200;ok
2024-03-08 03:12:06.718115;200;200;ok
2024-03-08 03:12:11.734931;200;200;ok
2024-03-08 03:12:16.777603;200;500;fail
2024-03-08 03:12:21.797072;200;200;ok
2024-03-08 03:12:26.826171;200;200;ok
2024-03-08 03:12:31.851474;200;500;fail
2024-03-08 03:12:36.876548;200;200;ok
2024-03-08 03:12:41.901467;200;500;fail
2024-03-08 03:12:46.921080;200;200;ok
2024-03-08 03:12:51.959242;200;200;ok
2024-03-08 03:12:57.000979;200;200;ok
2024-03-08 03:13:02.024590;200;200;ok
2024-03-08 03:13:07.055633;200;200;ok
2024-03-08 03:13:12.091238;200;500;fail
2024-03-08 03:13:17.145136;200;500;fail
2024-03-08 03:13:22.179832;200;500;fail
2024-03-08 03:13:27.227308;200;500;fail
2024-03-08 03:13:32.251094;200;200;ok
2024-03-08 03:13:37.272182;200;500;fail
2024-03-08 03:13:42.287400;200;500;fail
2024-03-08 03:13:47.310743;200;500;fail
2024-03-08 03:13:52.329130;200;200;ok
2024-03-08 03:13:57.350718;200;200;ok
2024-03-08 03:14:02.371843;200;500;fail
2024-03-08 03:14:07.396667;200;500;fail
2024-03-08 03:14:12.422110;200;200;ok
2024-03-08 03:14:17.440628;200;500;fail
2024-03-08 03:14:22.456887;200;200;ok
2024-03-08 03:14:27.476408;200;500;fail
2024-03-08 03:14:32.500341;200;200;ok
2024-03-08 03:14:37.523703;200;200;ok
2024-03-08 03:14:42.545409;200;200;ok
